participant_id,story_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score
2,0,2,2,1,2,1
3,0,4,5,5,5,3
4,0,2,2,1,1,1
6,0,2,1,1,1,1
7,0,2,3,1,2,2
2,1,2,4,2,4,1
3,1,4,4,4,5,3
4,1,4,4,4,5,4
6,1,3,2,1,1,2
7,1,1,3,2,2,2
2,2,4,4,2,4,2
3,2,5,4,4,5,4
4,2,3,3,2,3,2
6,2,4,4,3,4,3
7,2,4,4,3,3,4
2,3,2,1,1,1,4
3,3,4,5,4,4,3
4,3,2,4,2,3,2
6,3,4,3,1,2,2
7,3,1,1,1,1,2
2,4,3,1,5,4,5
3,4,3,2,3,2,2
4,4,3,2,4,2,1
6,4,4,2,5,2,3
7,4,1,1,4,1,1
2,5,4,4,4,4,1
3,5,4,3,4,5,3
4,5,4,2,3,2,3
6,5,2,2,1,1,1
7,5,3,2,2,2,2
2,6,4,2,2,1,2
3,6,3,4,3,4,2
4,6,5,4,4,4,4
6,6,3,3,3,3,1
7,6,1,1,1,1,2
2,7,2,2,4,4,5
3,7,5,5,4,5,4
4,7,4,5,4,5,4
6,7,3,2,3,3,4
7,7,4,5,4,3,4
2,8,2,2,4,2,3
3,8,5,4,5,4,3
4,8,4,3,3,3,4
6,8,4,3,5,3,5
7,8,5,4,5,4,5
2,9,2,4,5,4,4
3,9,4,3,4,4,3
4,9,4,3,3,3,2
6,9,5,3,5,3,4
7,9,1,1,1,1,1
2,10,2,4,5,2,4
3,10,4,4,5,4,3
4,10,4,3,5,4,5
6,10,4,3,4,4,3
7,10,4,4,5,3,4
2,11,4,1,2,1,4
3,11,4,4,4,4,3
4,11,4,3,4,4,5
6,11,2,1,1,1,3
7,11,5,2,3,1,3
2,12,2,5,4,4,2
3,12,5,5,4,5,4
4,12,5,5,4,4,4
6,12,4,4,3,5,3
7,12,5,4,4,3,4
2,13,4,4,5,4,4
3,13,4,3,5,4,4
4,13,3,3,3,2,2
6,13,4,3,3,3,2
7,13,1,1,1,1,1
2,14,2,1,1,2,2
3,14,5,4,5,5,4
4,14,2,3,3,3,4
6,14,4,3,3,3,2
7,14,3,3,4,2,3
2,15,2,2,2,1,1
3,15,4,3,4,4,3
4,15,2,2,4,3,3
6,15,5,2,2,1,3
7,15,1,2,2,2,2
2,16,2,1,4,1,2
3,16,3,3,3,3,3
4,16,3,4,3,2,4
6,16,3,3,2,3,2
7,16,3,1,1,1,1
2,17,2,4,5,5,4
3,17,5,4,4,4,4
4,17,3,4,3,3,2
6,17,4,5,4,3,4
7,17,5,4,5,4,5
2,18,5,4,1,3,2
3,18,4,4,5,4,4
4,18,3,5,4,4,3
6,18,4,2,1,4,3
7,18,1,1,1,1,1
2,19,1,1,1,5,5
3,19,1,1,1,1,1
4,19,2,1,1,1,1
6,19,3,1,1,1,1
7,19,1,1,1,1,1
2,20,2,1,1,1,4
3,20,4,3,4,3,3
4,20,2,2,3,2,3
6,20,1,1,3,3,2
7,20,1,2,3,1,1
2,21,4,2,4,4,4
3,21,4,5,4,4,3
4,21,3,4,4,5,5
6,21,1,1,1,1,1
7,21,3,3,1,2,1
2,22,2,4,2,2,1
3,22,5,5,4,5,4
4,22,3,3,4,5,2
6,22,3,3,1,2,3
7,22,5,5,5,4,5
2,23,4,5,4,4,1
3,23,5,5,4,4,3
4,23,3,3,3,3,2
6,23,2,2,2,3,1
7,23,3,2,1,1,1
2,24,3,2,4,2,2
3,24,4,3,5,4,4
4,24,4,4,3,2,3
6,24,4,3,3,2,2
7,24,2,1,1,1,1
2,25,4,5,5,2,2
3,25,4,5,5,5,5
4,25,5,4,4,5,5
6,25,5,4,5,4,5
7,25,3,5,5,4,5
2,26,1,4,4,4,2
3,26,5,5,5,5,5
4,26,2,3,2,4,3
6,26,4,3,4,3,4
7,26,2,3,2,2,4
2,27,2,2,2,2,4
3,27,5,4,4,4,4
4,27,3,2,2,3,3
6,27,2,2,3,2,4
7,27,3,3,4,2,4
2,28,1,2,2,1,1
3,28,4,4,5,4,3
4,28,2,4,3,2,2
6,28,3,2,2,1,1
7,28,1,1,1,1,1
2,29,3,4,2,4,4
3,29,5,4,5,5,4
4,29,5,4,3,4,3
6,29,4,5,4,5,3
7,29,3,4,1,1,1
2,30,4,2,3,3,1
3,30,5,5,5,5,4
4,30,4,4,5,4,5
6,30,3,4,3,4,5
7,30,2,1,1,2,1
2,31,2,2,2,1,2
3,31,4,4,4,5,5
4,31,4,3,2,3,1
6,31,1,1,1,1,1
7,31,1,1,1,1,1
2,32,2,1,4,1,1
3,32,5,4,4,4,3
4,32,4,3,2,4,1
6,32,2,1,2,2,1
7,32,1,1,2,1,1
2,33,1,2,4,2,1
3,33,5,4,5,4,4
4,33,4,4,5,3,4
6,33,4,2,4,3,3
7,33,5,3,5,3,5
2,34,3,2,3,4,2
3,34,5,3,4,4,4
4,34,3,2,5,4,4
6,34,4,2,5,2,3
7,34,4,3,5,4,4
2,35,1,1,1,1,1
3,35,1,2,1,2,2
4,35,1,1,2,1,1
6,35,2,1,1,1,1
7,35,2,1,1,1,1
2,36,1,3,3,3,4
3,36,5,4,5,4,4
4,36,2,2,2,3,3
6,36,2,2,1,2,1
7,36,1,1,1,1,1
2,37,4,1,4,1,4
3,37,5,4,3,4,4
4,37,4,2,3,2,3
6,37,3,4,3,3,1
7,37,2,1,2,1,2
2,38,2,3,1,4,2
3,38,4,5,4,5,3
4,38,2,3,2,3,2
6,38,3,4,3,3,1
7,38,5,5,4,4,5
2,39,2,2,2,2,4
3,39,4,4,5,4,4
4,39,2,2,2,2,3
6,39,4,1,4,3,3
7,39,2,2,2,1,2
2,40,5,5,2,5,1
3,40,4,5,4,4,3
4,40,4,5,5,5,4
6,40,2,1,2,4,2
7,40,4,4,4,3,5
2,41,4,4,4,4,5
3,41,5,5,4,5,4
4,41,4,2,3,3,2
6,41,4,4,3,4,3
7,41,3,2,1,1,2
2,42,1,2,2,2,3
3,42,5,4,4,4,4
4,42,3,2,2,2,2
6,42,1,1,1,1,1
7,42,1,2,1,1,1
2,43,4,1,4,1,4
3,43,4,3,4,3,3
4,43,3,3,3,2,2
6,43,2,1,1,3,2
7,43,1,1,1,1,1
2,44,2,4,4,4,2
3,44,4,5,4,4,3
4,44,4,5,3,4,4
6,44,4,3,4,3,3
7,44,5,5,3,3,4
2,45,2,4,4,4,2
3,45,4,3,3,3,3
4,45,3,3,4,4,3
6,45,3,2,2,4,3
7,45,2,3,1,1,2
2,46,4,5,5,4,5
3,46,4,4,3,3,3
4,46,2,1,2,1,1
6,46,1,1,1,1,1
7,46,2,2,1,1,1
2,47,4,1,1,1,4
3,47,4,4,3,4,4
4,47,3,3,2,4,2
6,47,4,4,1,2,4
7,47,2,2,2,1,4
2,48,4,4,4,2,4
3,48,4,4,4,4,3
4,48,4,4,4,4,4
6,48,3,2,3,3,3
7,48,5,4,5,4,5
2,49,3,4,5,2,1
3,49,5,4,4,4,3
4,49,4,4,5,4,3
6,49,2,1,1,3,2
7,49,1,1,1,1,1
2,50,5,5,5,2,1
3,50,2,2,3,2,3
4,50,2,2,4,4,1
6,50,4,1,4,5,4
7,50,2,4,2,4,2
2,51,4,4,4,4,5
3,51,4,4,4,4,4
4,51,3,3,4,3,2
6,51,3,2,3,3,4
7,51,2,2,2,1,2
2,52,2,4,5,4,5
3,52,4,4,5,5,4
4,52,3,3,4,4,3
6,52,5,4,5,4,4
7,52,5,5,5,5,5
2,53,2,1,2,3,5
3,53,4,3,4,3,3
4,53,2,4,3,3,3
6,53,4,2,3,4,2
7,53,1,1,1,1,1
2,54,4,2,2,4,2
3,54,3,2,4,3,4
4,54,1,3,2,2,2
6,54,3,1,1,2,1
7,54,1,1,1,1,1
2,55,1,2,5,2,5
3,55,4,3,4,3,4
4,55,4,3,5,4,4
6,55,4,1,4,1,5
7,55,1,2,3,5,2
2,56,2,1,4,1,4
3,56,5,4,5,4,5
4,56,2,2,2,1,2
6,56,2,1,3,2,1
7,56,4,2,4,2,2
2,57,3,4,2,2,4
3,57,3,4,4,3,3
4,57,3,3,2,2,1
6,57,3,2,1,3,2
7,57,3,2,2,2,2
2,58,1,1,2,1,1
3,58,4,3,4,4,3
4,58,3,4,4,3,3
6,58,2,1,1,4,1
7,58,5,3,5,4,5
2,59,5,5,5,5,5
3,59,4,2,3,2,2
4,59,2,2,5,4,1
6,59,5,3,5,3,4
7,59,2,1,3,1,1
2,60,4,2,1,1,2
3,60,4,4,4,4,3
4,60,2,3,2,4,4
6,60,1,1,1,1,2
7,60,1,2,1,1,1
2,61,4,5,4,4,1
3,61,5,5,5,5,5
4,61,5,5,4,5,3
6,61,1,2,1,1,1
7,61,1,3,1,3,1
2,62,5,5,5,5,2
3,62,4,5,4,4,3
4,62,4,5,4,5,4
6,62,4,3,4,4,2
7,62,5,5,4,5,5
2,63,1,2,3,1,1
3,63,4,3,3,4,3
4,63,2,3,2,2,1
6,63,3,1,4,3,3
7,63,2,2,2,1,1
2,64,1,2,2,3,5
3,64,5,4,5,5,5
4,64,4,3,4,3,5
6,64,4,3,4,4,5
7,64,5,3,5,4,5
2,65,1,2,4,2,2
3,65,4,4,4,4,3
4,65,2,4,3,5,2
6,65,1,1,1,1,2
7,65,2,2,2,2,3
2,66,5,5,5,4,4
3,66,5,5,5,5,5
4,66,5,4,5,4,4
6,66,2,1,1,2,4
7,66,4,2,2,3,3
2,67,2,2,2,2,1
3,67,4,3,4,4,3
4,67,2,2,2,2,3
6,67,3,2,2,3,1
7,67,1,1,1,1,2
2,68,1,1,1,1,1
3,68,4,4,4,4,3
4,68,2,2,2,3,2
6,68,4,1,1,1,1
7,68,3,3,2,2,2
2,69,2,1,2,2,5
3,69,4,3,5,4,4
4,69,3,2,3,3,2
6,69,4,1,1,3,3
7,69,2,1,1,1,2
2,70,1,1,5,2,2
3,70,4,3,4,3,3
4,70,4,4,5,4,4
6,70,2,1,2,2,1
7,70,1,1,1,1,1
2,71,5,5,5,4,2
3,71,5,4,5,5,4
4,71,2,3,2,3,2
6,71,5,3,4,4,4
7,71,3,5,1,2,1
2,72,2,1,5,4,2
3,72,4,3,3,5,4
4,72,3,3,4,4,2
6,72,3,1,2,2,2
7,72,3,2,3,2,2
2,73,4,4,2,2,2
3,73,4,4,4,4,3
4,73,3,2,2,2,1
6,73,2,2,2,3,1
7,73,1,1,1,3,1
2,74,5,5,2,2,2
3,74,5,5,4,5,4
4,74,5,5,4,5,5
6,74,4,5,4,4,3
7,74,5,5,5,5,5
2,75,2,1,1,1,4
3,75,4,4,4,4,3
4,75,3,5,4,4,4
6,75,1,1,2,2,2
7,75,2,2,1,1,2
2,76,4,4,4,1,2
3,76,5,4,4,5,4
4,76,4,5,5,5,4
6,76,4,4,5,5,3
7,76,4,3,1,2,1
2,77,2,2,4,2,5
3,77,4,4,3,3,3
4,77,2,2,3,2,3
6,77,4,4,3,3,1
7,77,1,1,1,1,1
2,78,1,2,2,2,2
3,78,4,4,4,4,3
4,78,3,3,3,4,2
6,78,4,2,1,4,1
7,78,3,3,2,1,2
2,79,2,2,2,2,4
3,79,4,3,5,4,4
4,79,2,2,1,1,2
6,79,4,1,1,1,1
7,79,1,1,1,1,1
2,80,2,1,2,1,4
3,80,4,3,4,3,4
4,80,4,3,4,2,3
6,80,2,1,1,1,3
7,80,5,2,1,2,1
2,81,1,2,1,1,2
3,81,4,4,5,4,3
4,81,2,2,1,2,2
6,81,3,1,1,2,2
7,81,2,2,1,1,2
2,82,1,4,2,2,4
3,82,5,4,4,4,3
4,82,3,4,3,3,3
6,82,4,3,1,2,1
7,82,1,2,1,1,1
2,83,2,2,2,2,4
3,83,3,2,3,3,2
4,83,4,5,5,4,3
6,83,4,2,4,3,4
7,83,4,3,5,3,5
2,84,2,4,4,4,4
3,84,5,5,4,5,4
4,84,4,5,4,5,4
6,84,4,2,2,3,1
7,84,3,3,2,2,2
2,85,1,4,4,4,4
3,85,4,3,4,3,3
4,85,3,5,4,4,2
6,85,1,1,2,1,1
7,85,1,1,1,1,1
2,86,1,1,2,1,4
3,86,5,3,4,4,4
4,86,3,3,5,3,3
6,86,5,5,4,3,3
7,86,4,1,4,2,5
2,87,2,1,1,1,2
3,87,4,3,5,4,3
4,87,1,3,2,2,3
6,87,3,2,1,1,1
7,87,1,1,1,1,1
2,88,4,4,5,4,4
3,88,3,3,4,3,2
4,88,2,3,2,3,2
6,88,3,1,1,1,2
7,88,2,2,1,1,1
2,89,2,2,2,4,3
3,89,3,4,3,3,2
4,89,3,2,1,2,1
6,89,4,4,1,3,1
7,89,2,2,1,1,1
2,90,1,2,4,2,4
3,90,4,4,4,4,4
4,90,4,5,4,5,4
6,90,2,1,3,2,2
7,90,3,3,3,2,1
2,91,2,2,2,2,5
3,91,5,4,4,4,3
4,91,2,4,2,4,2
6,91,4,4,3,4,4
7,91,5,4,5,2,5
2,92,1,2,2,2,2
3,92,5,3,4,4,5
4,92,3,3,3,2,2
6,92,4,2,3,1,1
7,92,3,1,1,1,1
2,93,4,4,4,2,2
3,93,4,3,4,3,3
4,93,3,4,2,3,3
6,93,4,3,3,4,3
7,93,2,1,2,1,3
2,94,2,4,4,4,4
3,94,5,5,5,5,4
4,94,3,5,4,4,4
6,94,4,4,4,3,4
7,94,4,5,5,4,5
2,95,4,2,2,2,1
3,95,4,5,4,5,4
4,95,4,3,3,4,3
6,95,4,3,4,3,3
7,95,5,4,4,3,5
2,96,4,4,5,2,4
3,96,4,5,4,4,4
4,96,2,1,3,1,2
6,96,3,3,2,3,2
7,96,5,4,5,5,5
2,97,1,1,5,1,4
3,97,5,4,4,4,4
4,97,3,4,4,3,4
6,97,4,1,3,2,5
7,97,4,3,5,3,5
2,98,4,5,2,4,1
3,98,4,5,4,5,3
4,98,4,5,5,4,3
6,98,3,3,1,3,1
7,98,1,1,1,1,1
2,99,2,4,4,4,2
3,99,3,4,3,4,3
4,99,4,3,2,4,2
6,99,5,4,4,5,4
7,99,4,2,4,2,3
